schema_version,dataset_kind,product_commit,session_id,role,accessibility_mode,task_code,outcome,duration_seconds,error_count,critical_incident_count,session_scope_comprehension_correct,confidence_rating,issue_code
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M02,procurement_manager,keyboard_only,T08_RENEWAL_REMINDER,unassisted,240,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M02,procurement_manager,keyboard_only,T01_CREATE_REQUIREMENTS,unassisted,360,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M03,procurement_manager,keyboard_only,T06_DECIDE_EXCEPTION,unassisted,310,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M03,procurement_manager,keyboard_only,T07_EXPORT_STATUS,unassisted,190,0,0,true,5,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M03,procurement_manager,keyboard_only,T08_RENEWAL_REMINDER,unassisted,230,0,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M03,procurement_manager,keyboard_only,T01_CREATE_REQUIREMENTS,unassisted,330,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M03,procurement_manager,keyboard_only,T02_CREATE_VENDOR_LINK,unassisted,170,0,0,true,5,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M04,procurement_manager,magnification,T07_EXPORT_STATUS,assisted,220,2,0,true,3,export_workflow
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M04,procurement_manager,magnification,T08_RENEWAL_REMINDER,unassisted,275,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M04,procurement_manager,magnification,T01_CREATE_REQUIREMENTS,unassisted,380,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M04,procurement_manager,magnification,T02_CREATE_VENDOR_LINK,unassisted,180,0,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M04,procurement_manager,magnification,T06_DECIDE_EXCEPTION,assisted,400,2,0,true,3,exception_workflow
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M05,procurement_manager,voice_control,T08_RENEWAL_REMINDER,unassisted,260,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M05,procurement_manager,voice_control,T01_CREATE_REQUIREMENTS,not_completed,480,3,0,true,2,rule_comprehension
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M05,procurement_manager,voice_control,T02_CREATE_VENDOR_LINK,unassisted,200,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M05,procurement_manager,voice_control,T06_DECIDE_EXCEPTION,unassisted,340,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M05,procurement_manager,voice_control,T07_EXPORT_STATUS,unassisted,205,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-U01,vendor_uploader,standard,T03_VENDOR_UPLOAD,unassisted,120,0,0,true,5,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-U02,vendor_uploader,keyboard_only,T03_VENDOR_UPLOAD,unassisted,155,1,0,true,4,navigation
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-U03,vendor_uploader,screen_reader,T03_VENDOR_UPLOAD,assisted,240,2,0,true,3,labeling
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-U04,vendor_uploader,magnification,T03_VENDOR_UPLOAD,unassisted,175,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-U05,vendor_uploader,screen_reader,T03_VENDOR_UPLOAD,not_completed,480,3,1,false,2,assistive_technology
